                      B:B:AES |                ctr:104857600 |    4 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:   6, max  10, sds 000) exs: 302984, 304567, 307711, mpv: [3.600e-04, 4.381e-03, 4.223e-03], [; ; ]
                      B:B:AES |                ctr:104857600 |    5 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:   6, max  10, sds 000) exs: 302987, 304573, 307717, mpv: [2.005e-03, 2.309e-03, 1.779e-04], [; ; ]
                      B:B:AES |                ctr:104857600 |    6 | - (  1/ 735 ~0.001; c - (  0/ 245) | hcr:   6, max  10, sds 000) exs: 314351, 314932, 314993, mpv: [4.503e-03, 1.112e-03, 2.200e-06], [; ; 448]
                      B:B:AES |                ctr:104857600 |    7 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:   6, max  10, sds 000) exs: 377985, 377986, 377987, mpv: [1.100e-03, 1.212e-03, 2.271e-03], [; ; ]
                      B:B:AES |                ctr:104857600 |    8 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:   6, max  10, sds 000) exs: 377988, 377989, 377990, mpv: [2.535e-03, 1.740e-03, 3.549e-03], [; ; ]
                      B:B:AES |               ctr:1048576000 |    2 | R (800/ 897 ~0.892; c R (290/ 299) | hcr:   6, max  10, sm: 80.00 %, sds 111) exs: 337836, 337837, 337838, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                      B:B:AES |               ctr:1048576000 |    3 | R (364/ 897 ~0.406; c R (130/ 299) | hcr:   6, max  10, sm: 70.00 %, sds 111) exs: 331394, 331395, 331396, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                      B:B:AES |               ctr:1048576000 |    4 | - (  1/ 897 ~0.001; c - (  1/ 299) | hcr:   6, max  10, sds 000) exs: 321545, 321829, 321849, mpv: [5.258e-07, 1.246e-03, 2.372e-03], [192; ; ]
                      B:B:AES |               ctr:1048576000 |    5 | - (  0/ 897 ~0.000; c - (  2/ 299) | hcr:   6, max  10, sds 000) exs: 336030, 336031, 336032, mpv: [8.764e-04, 9.200e-04, 1.779e-04], [; ; ]
                      B:B:AES |               ctr:1048576000 |    6 | - (  0/ 897 ~0.000; c - (  0/ 299) | hcr:   6, max  10, sds 000) exs: 336033, 336034, 336035, mpv: [2.700e-03, 1.428e-03, 1.267e-03], [; ; ]
                      B:B:AES |               ctr:1048576000 |    7 | - (  1/ 897 ~0.001; c - (  2/ 299) | hcr:   6, max  10, sds 000) exs: 377991, 377992, 377993, mpv: [1.197e-04, 2.696e-06, 3.559e-04], [; 168; ]
                      B:B:AES |               ctr:1048576000 |    8 | - (  0/ 897 ~0.000; c - (  1/ 299) | hcr:   6, max  10, sds 000) exs: 377994, 377995, 377996, mpv: [1.634e-04, 5.400e-04, 4.184e-03], [; ; ]
                      B:B:AES |    hw.key..ornd.inp:10485760 |    1 | R (599/ 636 ~0.942; c R (210/ 212) | hcr:   6, max  10, sm: 90.00 %, sds 111) exs: 349802, 349803, 349804, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                      B:B:AES |    hw.key..ornd.inp:10485760 |    2 | R (583/ 642 ~0.908; c R (205/ 214) | hcr:   6, max  10, sm: 80.00 %, sds 111) exs: 349805, 349806, 349807, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                      B:B:AES |    hw.key..ornd.inp:10485760 |    3 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:   6, max  10, sds 000) exs: 349808, 349809, 349810, mpv: [6.480e-04, 8.200e-04, 1.500e-03], [; ; ]
                      B:B:AES |    hw.key..ornd.inp:10485760 |    4 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:   6, max  10, sds 000) exs: 361488, 361489, 361490, mpv: [1.800e-03, 2.800e-03, 2.743e-04], [; ; ]
                      B:B:AES |    hw.key..ornd.inp:10485760 |    5 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:   6, max  10, sds 000) exs: 361491, 361492, 361493, mpv: [2.800e-03, 3.577e-03, 3.900e-04], [; ; ]
                      B:B:AES |    hw.key..ornd.inp:10485760 |    6 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:   6, max  10, sds 000) exs: 377997, 377998, 377999, mpv: [1.991e-04, 2.382e-03, 1.859e-03], [; ; ]
                      B:B:AES |    hw.key..ornd.inp:10485760 |    7 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:   6, max  10, sds 000) exs: 378000, 378001, 378002, mpv: [2.700e-03, 2.916e-05, 1.600e-03], [; ; ]
                      B:B:AES |   hw.key..ornd.inp:104857600 |    1 | R (654/ 735 ~0.890; c R (243/ 245) | hcr:   6, max  10, sm: 90.00 %, sds 111) exs: 349811, 349812, 349813, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                      B:B:AES |   hw.key..ornd.inp:104857600 |    2 | R (647/ 735 ~0.880; c R (233/ 245) | hcr:   6, max  10, sm: 80.00 %, sds 111) exs: 349814, 349815, 349816, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                      B:B:AES |   hw.key..ornd.inp:104857600 |    3 | - (  6/ 735 ~0.008; c - (  1/ 245) | hcr:   6, max  10, sds 001) exs: 349817, 349818, 349819, mpv: [1.000e-05, 1.608e-05, 4.238e-15], [576; ; 562, 568, 576, 701, 845]
                      B:B:AES |   hw.key..ornd.inp:104857600 |    4 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:   6, max  10, sds 000) exs: 349820, 349821, 349822, mpv: [1.481e-03, 5.287e-03, 1.100e-04], [; ; ]
                      B:B:AES |   hw.key..ornd.inp:104857600 |    5 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:   6, max  10, sds 000) exs: 361494, 361495, 361496, mpv: [1.466e-03, 3.246e-03, 2.660e-04], [; ; ]
                      B:B:AES |   hw.key..ornd.inp:104857600 |    6 | - (  0/ 735 ~0.000; c - (  1/ 245) | hcr:   6, max  10, sds 000) exs: 378003, 378004, 378005, mpv: [1.500e-04, 4.100e-03, 2.000e-03], [; ; ]
                      B:B:AES |   hw.key..ornd.inp:104857600 |    7 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:   6, max  10, sds 000) exs: 378006, 378007, 378008, mpv: [3.073e-04, 2.526e-03, 1.200e-03], [; ; ]
                      B:B:AES |  hw.key..ornd.inp:1048576000 |    1 | R (824/ 897 ~0.919; c R (293/ 299) | hcr:   6, max  10, sm: 90.00 %, sds 111) exs: 363387, 363388, 363389, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                      B:B:AES |  hw.key..ornd.inp:1048576000 |    2 | R (793/ 897 ~0.884; c R (281/ 299) | hcr:   6, max  10, sm: 80.00 %, sds 111) exs: 363390, 363391, 363392, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                      B:B:AES |  hw.key..ornd.inp:1048576000 |    3 | R ( 99/ 897 ~0.110; c R ( 38/ 299) | hcr:   6, max  10, sm: 70.00 %, sds 111) exs: 362994, 362995, 362996, mpv: [1.087e-16, 1.334e-19, 4.195e-46]
                      B:B:AES |  hw.key..ornd.inp:1048576000 |    4 | - (  1/ 897 ~0.001; c - (  1/ 299) | hcr:   6, max  10, sds 000) exs: 364311, 364312, 364313, mpv: [3.145e-03, 6.002e-04, 7.449e-06], [; ; 168]
                      B:B:AES |  hw.key..ornd.inp:1048576000 |    5 | - (  0/ 897 ~0.000; c - (  1/ 299) | hcr:   6, max  10, sds 000) exs: 364314, 364315, 364316, mpv: [1.624e-03, 2.114e-04, 2.005e-03], [; ; ]
                      B:B:AES |  hw.key..ornd.inp:1048576000 |    6 | - (  1/ 897 ~0.001; c - (  1/ 299) | hcr:   6, max  10, sds 100) exs: 364317, 364318, 364319, mpv: [1.100e-10, 6.100e-04, 1.205e-03], [447; ; ]
                      B:B:AES |  hw.key..ornd.inp:1048576000 |    7 | - (  0/ 897 ~0.000; c - (  1/ 299) | hcr:   6, max  10, sds 000) exs: 378009, 378010, 378011, mpv: [8.400e-04, 8.482e-04, 8.755e-04], [; ; ]
                      B:B:AES |  hw.key..ornd.inp:1048576000 |    8 | - (  0/ 897 ~0.000; c - (  1/ 299) | hcr:   6, max  10, sds 000) exs: 378012, 378013, 378014, mpv: [1.100e-03, 4.504e-05, 2.800e-05], [; ; ]
                      B:B:AES |              hw.key:10485760 |    2 | R (586/ 636 ~0.921; c R (204/ 212) | hcr:   6, max  10, sm: 80.00 %, sds 111) exs: 324675, 324676, 324677, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                      B:B:AES |              hw.key:10485760 |    3 | - ( 12/ 642 ~0.019; c - (  0/ 214) | hcr:   6, max  10, sds 001) exs: 324678, 324679, 324680, mpv: [3.923e-03, 3.570e-04, 2.068e-50], [; ; 540, 544, 558, 564, 568, 570, 572, 576, 586, 588, 701, 782]
                      B:B:AES |              hw.key:10485760 |    4 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:   6, max  10, sds 000) exs: 324681, 324682, 324683, mpv: [1.538e-03, 3.577e-03, 3.000e-03], [; ; ]
                      B:B:AES |              hw.key:10485760 |    5 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:   6, max  10, sds 000) exs: 329849, 329850, 329851, mpv: [6.171e-04, 6.196e-03, 8.800e-03], [; ; ]
                      B:B:AES |              hw.key:10485760 |    6 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:   6, max  10, sds 000) exs: 378015, 378016, 378017, mpv: [9.539e-04, 1.700e-04, 1.991e-04], [; ; ]
                      B:B:AES |              hw.key:10485760 |    7 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:   6, max  10, sds 000) exs: 378018, 378019, 378020, mpv: [3.923e-03, 3.466e-04, 7.866e-04], [; ; ]
                      B:B:AES |             hw.key:104857600 |    2 | R (671/ 735 ~0.913; c R (242/ 245) | hcr:   6, max  10, sm: 80.00 %, sds 111) exs: 315135, 315136, 315137, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                      B:B:AES |             hw.key:104857600 |    3 | R ( 33/ 735 ~0.045; c R ( 11/ 245) | hcr:   6, max  10, sm: 70.00 %, sds 111) exs: 315103, 315104, 315105, mpv: [1.170e-06, 6.555e-12, 7.448e-17]
                      B:B:AES |             hw.key:104857600 |    4 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:   6, max  10, sds 000) exs: 315109, 315110, 315111, mpv: [3.322e-03, 7.942e-04, 3.746e-03], [; ; ]
                      B:B:AES |             hw.key:104857600 |    5 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:   6, max  10, sds 000) exs: 315115, 315116, 315117, mpv: [3.400e-04, 4.745e-04, 6.000e-04], [; ; ]
                      B:B:AES |             hw.key:104857600 |    6 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:   6, max  10, sds 000) exs: 316861, 316862, 316863, mpv: [4.838e-04, 5.080e-04, 1.100e-03], [; ; ]
                      B:B:AES |             hw.key:104857600 |    7 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:   6, max  10, sds 000) exs: 378021, 378022, 378023, mpv: [1.524e-03, 1.724e-03, 8.400e-04], [; ; ]
                      B:B:AES |             hw.key:104857600 |    8 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:   6, max  10, sds 000) exs: 378024, 378025, 378026, mpv: [1.895e-03, 1.300e-04, 3.835e-03], [; ; ]
                      B:B:AES |            hw.key:1048576000 |    1 | R (833/ 891 ~0.935; c R (293/ 297) | hcr:   6, max  10, sm: 90.00 %, sds 111) exs: 321881, 321882, 321883, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                      B:B:AES |            hw.key:1048576000 |    2 | R (794/ 897 ~0.885; c R (285/ 299) | hcr:   6, max  10, sm: 80.00 %, sds 111) exs: 337839, 337840, 337841, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                      B:B:AES |            hw.key:1048576000 |    3 | R (127/ 897 ~0.142; c R ( 47/ 299) | hcr:   6, max  10, sm: 70.00 %, sds 111) exs: 337842, 337843, 337844, mpv: [1.000e-300, 1.000e-300, 1.000e-300]
                      B:B:AES |            hw.key:1048576000 |    4 | - (  1/ 897 ~0.001; c - (  0/ 299) | hcr:   6, max  10, sds 000) exs: 315121, 315122, 315123, mpv: [2.415e-03, 1.319e-03, 8.829e-06], [; ; 168]
                      B:B:AES |            hw.key:1048576000 |    5 | - (  0/ 897 ~0.000; c - (  1/ 299) | hcr:   6, max  10, sds 000) exs: 315127, 315128, 315129, mpv: [4.967e-05, 1.200e-03, 1.855e-03], [; ; ]
                      B:B:AES |            hw.key:1048576000 |    6 | - (  0/ 897 ~0.000; c - (  2/ 299) | hcr:   6, max  10, sds 000) exs: 340201, 340202, 340203, mpv: [1.717e-03, 8.165e-05, 3.739e-04], [; ; ]
                      B:B:AES |            hw.key:1048576000 |    7 | - (  0/ 897 ~0.000; c - (  0/ 299) | hcr:   6, max  10, sds 000) exs: 378027, 378028, 378029, mpv: [2.585e-04, 1.605e-04, 1.115e-03], [; ; ]
                      B:B:AES |            hw.key:1048576000 |    8 | - (  0/ 897 ~0.000; c - (  0/ 299) | hcr:   6, max  10, sds 000) exs: 378030, 378031, 378032, mpv: [1.600e-03, 1.500e-03, 9.348e-04], [; ; ]
                      B:B:AES |                  hw:10485760 |    1 | R (600/ 636 ~0.943; c R (210/ 212) | hcr:   6, max  10, sm: 90.00 %, sds 111) exs: 313100, 313236, 313238, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                      B:B:AES |                  hw:10485760 |    2 | R (600/ 636 ~0.943; c R (210/ 212) | hcr:   6, max  10, sm: 80.00 %, sds 111) exs: 301407, 304553, 307697, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                      B:B:AES |                  hw:10485760 |    3 | R ( 65/ 642 ~0.101; c R ( 24/ 214) | hcr:   6, max  10, sm: 70.00 %, sds 111) exs: 301410, 304559, 307703, mpv: [1.000e-300, 1.000e-300, 1.166e-14]
