                   H::ARIRANG |                 ctr:10485760 |    2 | R (615/ 636 ~0.967; c R (212/ 212) | hcr:   4, max   4, sm: 50.00 %, sds 111) exs: 301430, 304600, 307744, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   H::ARIRANG |                 ctr:10485760 |    3 | R (615/ 636 ~0.967; c R (212/ 212) | hcr:   4, max   4, sm: 25.00 %, sds 111) exs: 301433, 304606, 307750, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   H::ARIRANG |                 ctr:10485760 |    4 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:   4, max   4, sds 000) exs: 301436, 304612, 307756, mpv: [5.800e-03, 6.196e-03, 2.600e-03], [; ; ]
                   H::ARIRANG |                ctr:104857600 |    2 | R (648/ 729 ~0.889; c R (243/ 243) | hcr:   4, max   4, sm: 50.00 %, sds 111) exs: 303002, 304603, 307747, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   H::ARIRANG |                ctr:104857600 |    3 | R (648/ 729 ~0.889; c R (243/ 243) | hcr:   4, max   4, sm: 25.00 %, sds 111) exs: 303005, 304609, 307753, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   H::ARIRANG |                ctr:104857600 |    4 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:   4, max   4, sds 000) exs: 303008, 304615, 307759, mpv: [1.500e-03, 2.132e-03, 1.000e-02], [; ; ]
                   H::ARIRANG |               ctr:1048576000 |    2 | R (822/ 879 ~0.935; c R (293/ 293) | hcr:   4, max   4, sm: 50.00 %, sds 111) exs: 337860, 337861, 337862, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   H::ARIRANG |               ctr:1048576000 |    3 | R (822/ 879 ~0.935; c R (293/ 293) | hcr:   4, max   4, sm: 25.00 %, sds 111) exs: 331418, 331419, 331420, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   H::ARIRANG |               ctr:1048576000 |    4 | - (  1/ 897 ~0.001; c - (  1/ 299) | hcr:   4, max   4, sds 000) exs: 321017, 321120, 321225, mpv: [4.677e-06, 1.595e-03, 5.345e-04], [168; ; ]
                   H::ARIRANG |                  hw:10485760 |    2 | R (615/ 636 ~0.967; c R (212/ 212) | hcr:   4, max   4, sm: 50.00 %, sds 111) exs: 301431, 304601, 307745, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
