               B:M:gmimc-S45a |           sac:s6ob:104857600 |    1 | - (  0/ 789 ~0.000; c - (  0/ 263) | hcr:  - , max 121, sds 000) exs: 347201, 347202, 347203, mpv: [2.223e-03, 1.399e-03, 8.497e-04], [; ; ]
               B:M:gmimc-S45a |           sac:s6ob:104857600 |    2 | - (  0/ 789 ~0.000; c - (  0/ 263) | hcr:  - , max 121, sds 000) exs: 347231, 347232, 347233, mpv: [2.000e-02, 3.332e-04, 2.200e-03], [; ; ]
              B:M:gmimc-S128e |           ctr:s15mb:10485760 |    1 | - (  0/ 696 ~0.000; c - (  0/ 232) | hcr:  - , max 342, sds 000) exs: 352926, 352927, 352928, mpv: [1.272e-03, 1.900e-03, 2.700e-04], [; ; ]
              B:M:gmimc-S128e |           ctr:s15mb:10485760 |    2 | - (  0/ 696 ~0.000; c - (  0/ 232) | hcr:  - , max 342, sds 000) exs: 311600, 311601, 311602, mpv: [1.200e-03, 4.715e-03, 7.874e-04], [; ; ]
              B:M:gmimc-S128e |          ctr:s15mb:104857600 |    1 | - (  2/ 789 ~0.003; c - (  0/ 263) | hcr:  - , max 342, sds 100) exs: 352941, 352942, 352943, mpv: [2.269e-21, 1.596e-03, 3.218e-05], [578, 846; ; ]
              B:M:gmimc-S128e |          ctr:s15mb:104857600 |    2 | - (  0/ 789 ~0.000; c - (  0/ 263) | hcr:  - , max 342, sds 000) exs: 353046, 353047, 353048, mpv: [6.700e-04, 2.460e-03, 5.600e-04], [; ; ]
              B:M:gmimc-S128e |         ctr:s15mb:1073741824 |    1 | R ( 15/ 951 ~0.016; c R (  5/ 317) | hcr:  - , max 342, sm: 99.71 %, sds 101) exs: 356524, 356525, 356526, mpv: [7.002e-31, 1.942e-08, 4.682e-21]
              B:M:gmimc-S128e |           ctr:s15ob:10485760 |    1 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:  - , max 342, sds 000) exs: 352929, 352930, 352931, mpv: [9.100e-03, 2.043e-03, 1.400e-03], [; ; ]
              B:M:gmimc-S128e |           ctr:s15ob:10485760 |    2 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:  - , max 342, sds 000) exs: 311606, 311607, 311608, mpv: [1.100e-03, 2.700e-03, 2.100e-03], [; ; ]
              B:M:gmimc-S128e |          ctr:s15ob:104857600 |    1 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:  - , max 342, sds 000) exs: 352944, 352945, 352946, mpv: [2.375e-05, 3.712e-03, 3.200e-03], [; ; ]
              B:M:gmimc-S128e |          ctr:s15ob:104857600 |    2 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:  - , max 342, sds 000) exs: 353049, 353050, 353051, mpv: [2.330e-03, 2.502e-03, 3.200e-04], [; ; ]
              B:M:gmimc-S128e |         ctr:s15ob:1073741824 |    1 | - (  2/ 897 ~0.002; c - (  2/ 299) | hcr:  - , max 342, sds 000) exs: 356527, 356528, 356529, mpv: [3.900e-07, 2.700e-05, 1.400e-05], [326, 514; ; ]
              B:M:gmimc-S128e |          ctr:s16mb1:10485760 |    1 | - (  0/ 696 ~0.000; c - (  0/ 232) | hcr:  - , max 342, sds 000) exs: 352932, 352933, 352934, mpv: [2.400e-03, 4.700e-04, 1.968e-03], [; ; ]
              B:M:gmimc-S128e |          ctr:s16mb1:10485760 |    2 | - (  0/ 696 ~0.000; c - (  0/ 232) | hcr:  - , max 342, sds 000) exs: 311612, 311613, 311614, mpv: [5.166e-03, 3.880e-03, 1.156e-03], [; ; ]
              B:M:gmimc-S128e |         ctr:s16mb1:104857600 |    1 | - (  4/ 789 ~0.005; c - (  1/ 263) | hcr:  - , max 342, sds 001) exs: 352947, 352948, 352949, mpv: [1.388e-03, 1.000e-05, 1.000e-05], [; 586; 586, 588, 590]
              B:M:gmimc-S128e |         ctr:s16mb1:104857600 |    2 | - (  0/ 789 ~0.000; c - (  0/ 263) | hcr:  - , max 342, sds 000) exs: 353052, 353053, 353054, mpv: [1.200e-04, 1.757e-03, 1.200e-03], [; ; ]
              B:M:gmimc-S128e |        ctr:s16mb1:1073741824 |    1 | R ( 18/ 951 ~0.019; c R (  7/ 317) | hcr:  - , max 342, sm: 99.71 %, sds 111) exs: 356530, 356531, 356532, mpv: [3.893e-88, 3.596e-108, 4.069e-62]
              B:M:gmimc-S128e |            ctr:s6mb:10485760 |    1 | - (  4/ 696 ~0.006; c - (  2/ 232) | hcr:  - , max 342, sds 000) exs: 352920, 352921, 352922, mpv: [3.703e-06, 3.267e-04, 3.637e-07], [586, 850; ; 586, 850]
              B:M:gmimc-S128e |            ctr:s6mb:10485760 |    2 | - (  0/ 696 ~0.000; c - (  0/ 232) | hcr:  - , max 342, sds 000) exs: 311588, 311589, 311590, mpv: [3.492e-03, 2.429e-04, 3.860e-03], [; ; ]
              B:M:gmimc-S128e |           ctr:s6mb:104857600 |    1 | R ( 16/ 789 ~0.020; c R (  5/ 263) | hcr:  - , max 342, sm: 99.71 %, sds 111) exs: 352935, 352936, 352937, mpv: [2.446e-36, 7.554e-24, 1.971e-27]
              B:M:gmimc-S128e |           ctr:s6mb:104857600 |    2 | - (  0/ 789 ~0.000; c - (  0/ 263) | hcr:  - , max 342, sds 000) exs: 353040, 353041, 353042, mpv: [3.000e-03, 9.851e-03, 5.942e-04], [; ; ]
              B:M:gmimc-S128e |          ctr:s6mb:1073741824 |    2 | - (  2/ 951 ~0.002; c - (  0/ 317) | hcr:  - , max 342, sds 000) exs: 356533, 356534, 356535, mpv: [8.600e-06, 2.409e-04, 1.000e-05], [447; ; 574]
              B:M:gmimc-S128e |            ctr:s6ob:10485760 |    1 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:  - , max 342, sds 000) exs: 352923, 352924, 352925, mpv: [5.334e-04, 3.468e-03, 3.977e-04], [; ; ]
              B:M:gmimc-S128e |            ctr:s6ob:10485760 |    2 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:  - , max 342, sds 000) exs: 311594, 311595, 311596, mpv: [4.715e-03, 8.197e-03, 6.595e-05], [; ; ]
              B:M:gmimc-S128e |           ctr:s6ob:104857600 |    1 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:  - , max 342, sds 000) exs: 352938, 352939, 352940, mpv: [4.500e-04, 1.963e-03, 4.886e-04], [; ; ]
              B:M:gmimc-S128e |           ctr:s6ob:104857600 |    2 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:  - , max 342, sds 000) exs: 353043, 353044, 353045, mpv: [6.278e-04, 4.400e-04, 4.555e-05], [; ; ]
              B:M:gmimc-S128e |          ctr:s6ob:1073741824 |    1 | - (  5/ 897 ~0.006; c R (  4/ 299) | hcr:  - , max 342, sds 000) exs: 356536, 356537, 356538, mpv: [1.633e-04, 8.900e-07, 5.300e-10], [; 326, 425, 514; 327, 514]
              B:M:gmimc-S128e |           lhw:s15mb:10485760 |    1 | - (  0/ 696 ~0.000; c - (  0/ 232) | hcr:  - , max 342, sds 000) exs: 353091, 353092, 353093, mpv: [1.156e-03, 2.043e-03, 1.634e-03], [; ; ]
              B:M:gmimc-S128e |           lhw:s15mb:10485760 |    2 | - (  0/ 696 ~0.000; c - (  1/ 232) | hcr:  - , max 342, sds 000) exs: 311603, 311604, 311605, mpv: [3.300e-04, 2.465e-03, 3.900e-04], [; ; ]
              B:M:gmimc-S128e |          lhw:s15mb:104857600 |    1 | - (  0/ 789 ~0.000; c - (  0/ 263) | hcr:  - , max 342, sds 000) exs: 353106, 353107, 353108, mpv: [2.000e-03, 3.340e-03, 5.400e-03], [; ; ]
              B:M:gmimc-S128e |          lhw:s15mb:104857600 |    2 | - (  0/ 789 ~0.000; c - (  0/ 263) | hcr:  - , max 342, sds 000) exs: 285047, 285048, 285049, mpv: [3.678e-03, 4.100e-03, 3.465e-03], [; ; ]
              B:M:gmimc-S128e |         lhw:s15mb:1073741824 |    1 | R ( 12/ 951 ~0.013; c R (  5/ 317) | hcr:  - , max 342, sm: 99.71 %, sds 011) exs: 356539, 356540, 356541, mpv: [2.080e-04, 2.459e-21, 1.582e-15], [; 168, 586, 588, 590, 850, 851, 852; 586, 588, 590, 850, 851]
              B:M:gmimc-S128e |           lhw:s15ob:10485760 |    1 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:  - , max 342, sds 000) exs: 353094, 353095, 353096, mpv: [2.800e-03, 4.784e-04, 3.577e-03], [; ; ]
              B:M:gmimc-S128e |           lhw:s15ob:10485760 |    2 | - (  1/ 642 ~0.002; c - (  1/ 214) | hcr:  - , max 342, sds 000) exs: 311609, 311610, 311611, mpv: [1.700e-04, 1.278e-05, 3.600e-06], [; ; 449]
              B:M:gmimc-S128e |          lhw:s15ob:104857600 |    1 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:  - , max 342, sds 000) exs: 353109, 353110, 353111, mpv: [1.060e-03, 3.577e-03, 1.100e-03], [; ; ]
              B:M:gmimc-S128e |          lhw:s15ob:104857600 |    2 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:  - , max 342, sds 000) exs: 285053, 285054, 285055, mpv: [8.453e-04, 1.147e-03, 5.900e-05], [; ; ]
