                   B:S:Chacha |             sac.key:10485760 |    6 | - (  0/ 642 ~0.000; c - (  1/ 214) | hcr:   6, max  20, sds 000) exs: 379068, 379069, 379070, mpv: [3.489e-04, 1.538e-03, 4.700e-04], [; ; ]
                   B:S:Chacha |             sac.key:10485760 |    7 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:   6, max  20, sds 000) exs: 379071, 379072, 379073, mpv: [9.706e-03, 3.605e-04, 2.500e-03], [; ; ]
                   B:S:Chacha |            sac.key:104857600 |    2 | R (202/ 735 ~0.275; c R ( 77/ 245) | hcr:   6, max  20, sm: 90.00 %, sds 111) exs: 315769, 315770, 315771, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   B:S:Chacha |            sac.key:104857600 |    3 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:   6, max  20, sds 000) exs: 315775, 315776, 315777, mpv: [8.074e-05, 1.900e-04, 1.020e-03], [; ; ]
                   B:S:Chacha |            sac.key:104857600 |    4 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:   6, max  20, sds 000) exs: 315781, 315782, 315783, mpv: [3.757e-03, 3.084e-03, 1.200e-03], [; ; ]
                   B:S:Chacha |            sac.key:104857600 |    5 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:   6, max  20, sds 000) exs: 315787, 315788, 315789, mpv: [8.341e-03, 4.981e-03, 2.500e-03], [; ; ]
                   B:S:Chacha |            sac.key:104857600 |    6 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:   6, max  20, sds 000) exs: 379074, 379075, 379076, mpv: [1.039e-04, 5.600e-04, 5.500e-05], [; ; ]
                   B:S:Chacha |            sac.key:104857600 |    7 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:   6, max  20, sds 000) exs: 379077, 379078, 379079, mpv: [5.539e-03, 9.562e-03, 4.500e-05], [; ; ]
                   B:S:Chacha |           sac.key:1048576000 |    1 | R (433/ 897 ~0.483; c R (158/ 299) | hcr:   6, max  20, sm: 95.00 %, sds 111) exs: 337947, 337948, 337949, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   B:S:Chacha |           sac.key:1048576000 |    2 | R (284/ 897 ~0.317; c R (109/ 299) | hcr:   6, max  20, sm: 90.00 %, sds 111) exs: 337950, 337951, 337952, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
